Bus,X,Y
59162723919233255AT,-38.169902285700005,-7.3060606991
58050416918711288AT,-38.2705890833,-7.3534472476
61354398920329393AT,-37.9716048808,-7.2065196009
61263390920496996AT,-37.9798806823,-7.1913793928
61236957920545186AT,-37.9822715156,-7.1870192008
59433157919343479AT,-38.1454230516,-7.2960453865999995
61343797920347992AT,-37.972555981300005,-7.204832685
58861636919185108AT,-38.1971724919,-7.3104507298
58685796919126728AT,-38.2130898077,-7.3157734636
57576707918240605AT,-38.3134419011,-7.3960890592999995
61056245920172460AT,-37.998564784,-7.220752039600001
61191906920181972AT,-37.986278323600004,-7.2198934559
59042174919233338AT,-38.1808226813,-7.3060731503
60302186919684074AT,-38.0667657141,-7.2650840191
59632223919293947AT,-38.1273818177,-7.3004909864
58789714919170843AT,-38.2036828002,-7.3117667419000005
61399094920245928AT,-37.967456449400004,-7.214101893
59093017919229270AT,-38.1762162,-7.3064327109
56771679917570219AT,-38.3863133577,-7.4568249076
57816438918601280AT,-38.2917718452,-7.3634315956
61536731922346996AT,-37.9554952836,-7.0239809497
61321304921730418AT,-37.9748856786,-7.079807603099999
58899814919201793AT,-38.193719095300004,-7.308936139299999
57171986917945412AT,-38.3500850684,-7.4228348439
61312084920407278AT,-37.975452717399996,-7.1994840391
61333474921314177AT,-37.9736982453,-7.117440638
58703501919135913AT,-38.2114873436,-7.3149398793
61029772920169051AT,-38.0009597596,-7.2210799979999996
60643028920028177AT,-38.0359592998,-7.2338967986
59289836919313646AT,-38.1584009109,-7.2987681111
59364914919375265AT,-38.1516067361,-7.2931680147
57325788918098247AT,-38.3361584388,-7.4090000476
60290508919668482AT,-38.0678321877,-7.2664876864
61298077920432215AT,-37.976713613600005,-7.1972244726
61301035921266826AT,-37.9766273309,-7.1217323224
58201528918832977AT,-38.2569165913,-7.342417920700001
58256325918866147AT,-38.2519658334,-7.3393978704
59519829919282669AT,-38.1375533056,-7.3015184861
61356929921367222AT,-37.9715731967,-7.1126464079
PCO21890833,-37.967456449400004,-7.214101893
61309474921279287AT,-37.9758643533,-7.1206010652
60675641920053273AT,-38.0330103446,-7.2316207116
56846358917635543AT,-38.3795513723,-7.4509041202
57630783918273161AT,-38.3085565589,-7.3931261816
61349850922015970AT,-37.9723440992,-7.0539720277999995
57093421917872373AT,-38.3571945428,-7.4294515608000005
61388509922267804AT,-37.968894471599995,-7.031187253200001
59530793919277735AT,-38.136567202600006,-7.3019749937
59603900919282939AT,-38.1299455753,-7.3014915883
61234266920854102AT,-37.9825915628,-7.1590776317
61549027922350821AT,-37.954379733,-7.0236466222
56622203917393027AT,-38.3998369462,-7.4728702851
60557033919962395AT,-38.0437354183,-7.2398629343
58296129918901679AT,-38.248366366999996,-7.336179052
PCO12909977,-37.967456449400004,-7.214101893
61351860922254254AT,-37.9722095822,-7.0324200717
60364352919764617AT,-38.061149966799995,-7.2577875774
57949484918650922AT,-38.2797247654,-7.3589221988
58223116918845204AT,-38.2549700546,-7.3412963608
58413513918989733AT,-38.2377444518,-7.3281958152
61374343922262433AT,-37.9701758382,-7.031675853099999
57701059918408299AT,-38.302212154,-7.3808995476999995
59551105919278051AT,-38.1347272554,-7.3019428888
61323390921711200AT,-37.974678858800004,-7.081542157
56557569917166919AT,-38.4056559726,-7.4933398028
56567824917345439AT,-38.4047571614,-7.4771793462
56891330917673674AT,-38.3754816064,-7.4474499798
57682315918362669AT,-38.303890068600005,-7.385033363300001
59151083919231927AT,-38.1709565159,-7.3061827542
60051449919495318AT,-38.0894426033,-7.282202595399999
57689102918374325AT,-38.3032899141,-7.3839720617
56557376917336818AT,-38.4057048004,-7.477962046900001
59838186919403884AT,-38.1087498084,-7.290497736
