,COD_ID,PAC_1,PAC_2,KEY,PN_CON_1,PN_CON_2,COMP,TIP_CND,x,y,TIP_UNID,P_N_OPE,COR_NOM,circ_Lin,circ_CTAT,circ_PAC_de,circ_PAC_pr,circ_cont,Cor,x1,y1,x2,y2,R1,X1,Corrente Max
13156,24395290,77220847918968362AT,77218844918982994AT,SSDAT,27367186.0,27367352.0,147.685,16512289H-3,,,,,,19,84126466919574466AT,77218844918982994AT,77220847918968362AT,740,#0000FF,-36.534483697,-7.3240291123,-36.5346722722,-7.3227077519,0.268,0.304,322
13157,16515471,61351860922254254AT,61342487922227950AT,SSDAT,20010292.0,20010439.0,279.241,16512289H-3,,,,,,36,61546321922435265AT,61351860922254254AT,61342487922227950AT,17,#008B8B,-37.9722095822,-7.0324200717,-37.9730528882,-7.0348009963,0.268,0.304,322
13158,77725988,96110985920587104AT,96103657920587546AT,SSDAT,77725760.0,77725761.0,73.413,16512296H-3,,,,,,5,95638767921098348AT,96110985920587104AT,96103657920587546AT,742,#696969,-34.827324613,-7.1653862536,-34.8279869044,-7.1653523941,0.113,0.26,710
13159,66055001,94178738920746686AT,94184576920750628AT,SSDAT,66056326.0,66056325.0,70.443,66252126H-3,,,,,,42,94107339920710325AT,94178738920746686AT,94184576920750628AT,15,#00FA9A,-35.0020066988,-7.1525394301,-35.0014823598,-7.1521791293,1.364,0.32,750
13160,16516896,59301573919333132AT,59289836919313646AT,SSDAT,20012073.0,20012087.0,227.478,16512300H-3,,,,,,36,61546321922435265AT,59301573919333132AT,59289836919313646AT,253,#008B8B,-38.1573409906,-7.2970036466,-38.1584009109,-7.2987681111,0.335,0.392,480
13161,24393034,87088941923462287AT,87118592923494599AT,SSDAT,27364952.0,27364953.0,438.548,16512291H-3,,,,,,27,87075180925253344AT,87118592923494599AT,87088941923462287AT,662,#4682B4,-35.6445344158,-6.9124453001,-35.641875626,-6.9095085073,0.211,0.385,495
13162,24395142,86049463922112675AT,86075186922102377AT,SSDAT,27366249.0,27366558.0,277.078,16512291H-3,,,,,,34,84120129919598422AT,86049463922112675AT,86075186922102377AT,240,#48D1CC,-35.7376428712,-7.0349835829,-35.7353059946,-7.0358889547,0.211,0.385,495
13163,16516981,58090620918750769AT,58076355918736767AT,SSDAT,20011949.0,20012058.0,199.887,16512300H-3,,,,,,36,61546321922435265AT,58090620918750769AT,58076355918736767AT,313,#008B8B,-38.2669524444,-7.3498702193,-38.268252847,-7.3511284356,0.335,0.392,480
13164,24393803,87138722926232859AT,87141984926249972AT,SSDAT,27365182.0,27365210.0,174.211,16512297H-3,,,,,,27,87075180925253344AT,87138722926232859AT,87141984926249972AT,97,#4682B4,-35.6417828951,-6.6622100272,-35.6414987992,-6.6606626402,0.67,0.418,230
13165,16514798,63561796923206837AT,63580966923214808AT,SSDAT,20010003.0,20010603.0,207.612,16512289H-3,,,,,,37,61549605922440225AT,63561796923206837AT,63580966923214808AT,188,#008080,-37.7723769186,-6.9457878979,-37.770643782,-6.9450625137,0.268,0.304,322
13166,16517448,61079602914335333AT,61070207914355313AT,SSDAT,20011450.0,20011471.0,220.786,16512297H-3,,,,,,25,61329621912967501AT,61079602914335333AT,61070207914355313AT,67,#87CEEB,-37.9952397413,-7.7486933297,-37.9960959229,-7.7468882942,0.67,0.418,230
13167,16516449,61082681922556726AT,61062674922569549AT,SSDAT,20011500.0,20011193.0,237.636,16512289H-3,,,,,,29,61546442922434015AT,61082681922556726AT,61062674922569549AT,33,#708090,-37.9966369092,-7.0051156481,-37.9984505153,-7.0039597252,0.268,0.304,322
13168,46681879,96138482920972990AT,96133232920983436AT,SSDAT,49214850.0,49215185.0,116.911,16512296H-3,,,,,,5,95638767921098348AT,96133232920983436AT,96138482920972990AT,544,#696969,-34.8251574591,-7.1305500204,-34.8256401936,-7.129611898,0.113,0.26,710
13169,46682604,87630720919684206AT,87598510919687980AT,SSDAT,49217112.0,49214048.0,324.303,16512289H-3,,,,,,83,212887975,87630720919684206AT,87598510919687980AT,368,#FF00FF,-35.5930811169,-7.2532286451,-35.5959966587,-7.2529126953,0.268,0.304,322
